input_index,orig_root,orig_stem,orig_leaf,orig_fruit,orig_fruit_margin,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
42,3.365966,3.411315,3.286515,3.198847,-0.21246799999999988,7.114305019378662,7.330329895019531,7.2573771476745605,8.977960586547852,1.6476306915283203,108,165,165
43,0.964422,0.947873,0.879466,0.829398,-0.13502400000000003,1.4503710269927979,1.492765188217163,1.4408971071243286,2.7963831424713135,1.3036179542541504,101,165,165
44,2.847465,2.94348,2.827896,2.614825,-0.3286549999999999,5.068342208862305,5.259624481201172,5.224984645843506,6.687074184417725,1.4274497032165527,102,165,165
45,2.485171,2.552326,2.391807,2.282939,-0.26938700000000004,4.713689804077148,4.909936904907227,4.76577615737915,7.12425422668457,2.2143173217773438,118,165,165
46,2.818399,2.852373,2.65738,2.608421,-0.24395200000000017,5.823092460632324,5.8187360763549805,5.6409687995910645,7.521269798278809,1.6981773376464844,94,165,165
47,1.437589,1.429457,1.311355,1.20538,-0.2322090000000001,5.135316848754883,5.240429878234863,4.923642158508301,6.553182601928711,1.3127527236938477,108,165,165
48,1.152107,1.189205,1.107055,1.02442,-0.16478499999999996,4.896487236022949,4.832959175109863,4.788232326507568,6.8189239501953125,1.9224367141723633,114,165,165
49,0.515143,0.456722,0.408067,0.388687,-0.126456,3.1298134326934814,3.208228349685669,3.0297303199768066,5.403835296630859,2.1956069469451904,122,165,165
50,0.730943,0.722739,0.648241,0.606299,-0.12464399999999998,3.7281618118286133,3.6523165702819824,3.6046266555786133,5.693586349487305,1.9654245376586914,126,165,165
51,1.766699,1.803059,1.650938,1.696312,-0.10674699999999993,3.3987462520599365,3.06695294380188,2.8540217876434326,5.904543876647949,2.5057976245880127,114,165,165
52,1.766699,1.803059,1.650938,1.696312,-0.10674699999999993,5.973561763763428,5.657204627990723,5.412510395050049,8.554645538330078,2.5810837745666504,116,165,165
53,1.10293,1.101083,1.008746,0.897242,-0.20568799999999998,1.9715932607650757,1.7680866718292236,1.767430305480957,4.404204845428467,2.432611584663391,128,165,165
54,1.634702,1.672037,1.548557,1.519215,-0.152822,8.9894380569458,8.78997802734375,8.64102840423584,11.40492057800293,2.415482521057129,110,165,165
55,3.715951,3.848113,3.647429,3.545696,-0.30241700000000016,1.9868781566619873,1.9998037815093994,1.847357988357544,4.0572190284729,2.057415246963501,105,165,165
56,0.831543,0.813437,0.733661,0.680227,-0.151316,0.9124895334243774,0.8076056838035583,0.8923690319061279,1.8061105012893677,0.8936209678649902,90,165,165
57,0.940512,0.955348,0.897193,0.799835,-0.155513,8.447615623474121,8.422887802124023,8.257017135620117,10.652780532836914,2.205164909362793,122,165,165
58,1.013237,0.919581,0.840584,0.713178,-0.30005899999999996,5.424339294433594,5.473349571228027,5.358663082122803,7.07321310043335,1.5998635292053223,104,165,165
59,1.602894,1.551588,1.444684,1.404892,-0.198002,0.10400494933128357,0.023410260677337646,0.19912490248680115,1.7998666763305664,1.6007417738437653,84,165,165
60,0.975797,0.945435,0.851357,0.782275,-0.19352199999999997,7.163885593414307,7.205934524536133,7.068427085876465,9.035160064697266,1.8292255401611328,100,165,165
61,0.974969,0.929573,0.83791,0.763677,-0.21129199999999992,1.081289291381836,0.7900022864341736,0.6118099689483643,3.165543794631958,2.084254503250122,116,165,165
62,1.389362,1.375471,1.246129,1.166869,-0.22249300000000005,4.292809963226318,4.202169418334961,4.032855987548828,6.439813613891602,2.147003650665283,109,165,165
63,1.189345,1.221689,1.143738,1.017855,-0.20383400000000007,4.0710248947143555,4.212991237640381,4.061192035675049,5.836569309234619,1.6235780715942383,113,165,165
64,3.464355,3.610157,3.461224,3.541128,-0.06902900000000001,8.870691299438477,8.849359512329102,8.510064125061035,10.950237274169922,2.0795459747314453,105,165,165
65,1.756257,1.795028,1.664706,1.592591,-0.20243699999999998,3.578889846801758,3.553114652633667,3.3641018867492676,5.616929054260254,2.038039207458496,110,165,165
66,1.276642,1.284805,1.209266,1.19502,-0.089785,5.173989295959473,5.192336082458496,5.001384735107422,8.163272857666016,2.9709367752075195,115,165,165
67,2.472062,2.530404,2.335065,2.12761,-0.4027940000000001,15.62841510772705,16.200361251831055,15.927660942077637,18.473770141601562,2.273408889770508,107,165,165
68,2.383065,2.410347,2.28002,2.172201,-0.23814599999999997,7.001278877258301,7.033740997314453,6.733917713165283,9.151732444763184,2.1179914474487305,110,165,165
69,1.66967,1.671209,1.585881,1.468845,-0.202364,3.596334457397461,3.600587844848633,3.532707929611206,5.085030555725098,1.4844427108764648,90,165,165
70,1.74769,1.773541,1.666302,1.506577,-0.266964,9.003985404968262,9.04517650604248,8.985441207885742,10.660737037658691,1.615560531616211,106,165,165
71,4.157524,4.238355,3.988023,3.863985,-0.3743700000000003,4.184358596801758,4.442996025085449,4.335440158843994,6.156713485717773,1.7137174606323242,94,165,165
72,2.197756,2.307909,2.207788,2.26633,-0.04157900000000003,0.30730322003364563,0.5149343013763428,0.5043714046478271,2.286620855331421,1.7716865539550781,113,165,165
73,2.512003,2.542625,2.438932,2.353167,-0.18945800000000013,3.6702358722686768,3.5646839141845703,3.3564364910125732,5.389519691467285,1.7192838191986084,97,165,165
74,0.562368,0.496111,0.444166,0.427183,-0.135185,0.9292206764221191,0.9683852791786194,0.953829288482666,3.0663223266601562,2.097937047481537,117,165,165
75,1.315576,1.400283,1.296077,1.172823,-0.22746,4.883359909057617,4.754079818725586,4.83117151260376,6.2154998779296875,1.3321399688720703,102,165,165
76,2.445721,2.58094,2.454874,2.439673,-0.14126700000000003,4.682463645935059,4.868032455444336,4.828151226043701,6.853384017944336,1.9853515625,105,165,165
77,2.911565,2.864324,2.717321,2.534138,-0.37742699999999996,2.7470760345458984,2.7226779460906982,2.7166078090667725,4.194214820861816,1.447138786315918,97,165,165
78,1.724401,1.766532,1.670094,1.477929,-0.28860299999999994,4.353034973144531,4.176260471343994,4.123193740844727,5.94167423248291,1.588639259338379,109,165,165
79,2.903751,2.843245,2.683557,2.841192,-0.06255900000000025,1.4262934923171997,1.3995497226715088,1.5017189979553223,3.318392515182495,1.8166735172271729,95,165,165
80,1.669683,1.665229,1.564288,1.393716,-0.2759670000000001,5.281364440917969,5.265279293060303,5.307529926300049,6.64071798324585,1.3331880569458008,108,165,165
81,3.291756,3.324071,3.168658,3.217996,-0.10607500000000014,2.610816478729248,2.810661792755127,2.8531627655029297,4.797041893005371,1.9438791275024414,102,165,165
82,1.683937,1.73005,1.610831,1.434397,-0.29565300000000017,2.9747533798217773,3.1088473796844482,3.0262691974639893,4.162416458129883,1.0535690784454346,105,165,165
83,2.177704,2.160216,2.0484,1.890518,-0.28718599999999994,1.376160740852356,1.2955927848815918,1.3079921007156372,2.7592551708221436,1.3830944299697876,102,165,165
84,1.19156,1.165783,1.071141,0.9366,-0.25495999999999996,5.646491050720215,5.296191215515137,5.293203353881836,7.3509907722473145,1.7044997215270996,102,165,165
85,2.609394,2.633916,2.502399,2.423049,-0.21086700000000036,5.490814685821533,5.409320831298828,5.461156845092773,7.172062873840332,1.6812481880187988,109,165,165
86,2.29009,2.310611,2.201169,2.027121,-0.28349,4.008558750152588,4.183533191680908,4.184607982635498,6.378182888031006,2.193574905395508,96,165,165
87,3.033275,3.127846,2.970803,2.88333,-0.24451599999999996,2.147099018096924,1.9825303554534912,2.0075628757476807,3.7494659423828125,1.6023669242858887,109,165,165
88,3.465648,3.600085,3.422921,3.249286,-0.35079899999999986,5.72116756439209,6.3130340576171875,6.134667873382568,8.476469039916992,2.1634349822998047,95,165,165
89,4.503376,4.62195,4.424588,4.382431,-0.2395189999999996,8.673238754272461,8.732401847839355,8.590739250183105,11.019444465637207,2.2870426177978516,98,165,165
90,1.859555,1.877889,1.806258,1.692591,-0.18529799999999996,0.5564284324645996,0.5627543330192566,0.5211780071258545,2.0714516639709473,1.5086973309516907,111,165,165
91,1.702816,1.713516,1.578041,1.447447,-0.2660690000000001,7.024873733520508,6.9907355308532715,6.820267200469971,8.765436172485352,1.7405624389648438,95,165,165
92,3.033585,3.09102,2.946275,2.923166,-0.16785399999999973,4.443742752075195,4.820835590362549,4.760138511657715,7.117227554321289,2.2963919639587402,94,165,165
93,2.258559,2.317208,2.173187,2.123217,-0.19399100000000002,3.4665160179138184,3.5621418952941895,3.563117265701294,4.808739185333252,1.245621919631958,98,165,165
94,4.870718,4.981186,4.830284,4.855669,-0.12551700000000032,3.6869330406188965,3.626047372817993,3.613865613937378,4.9835968017578125,1.296663761138916,91,165,165
95,2.765409,2.798931,2.663232,2.540471,-0.2584599999999999,5.048762798309326,5.05785608291626,4.889707088470459,7.060065269470215,2.002209186553955,111,165,165
96,0.926303,0.946306,0.867077,0.820935,-0.125371,1.6241283416748047,1.6670470237731934,1.6715564727783203,3.029956579208374,1.3584001064300537,105,165,165
97,2.774812,2.897451,2.81376,2.702256,-0.195195,12.573140144348145,12.765304565429688,12.683304786682129,14.78943157196045,2.0241270065307617,113,165,165
98,1.52417,1.429292,1.310563,1.190484,-0.3336859999999999,2.883917808532715,2.792116403579712,2.621645212173462,4.238312244415283,1.3543944358825684,95,165,165
99,2.151922,2.196084,2.065986,1.958396,-0.2376879999999999,1.0858604907989502,1.1026196479797363,1.0811865329742432,3.4529926776885986,2.3503730297088623,106,165,165
100,1.646618,1.665542,1.569956,1.462397,-0.20314500000000013,3.918715476989746,4.129923343658447,4.004156589508057,6.144631385803223,2.0147080421447754,108,165,165
101,1.413885,1.409749,1.322124,1.192028,-0.22185699999999997,7.597851753234863,8.094308853149414,7.951563835144043,9.385454177856445,1.2911453247070312,105,165,165
102,1.173191,1.144785,1.050108,0.902965,-0.2702260000000001,3.419556140899658,3.478957414627075,3.329460620880127,5.1335859298706055,1.6546285152435303,112,165,165
103,1.124116,1.113269,1.040267,0.987205,-0.1369109999999999,4.404534339904785,4.288707733154297,4.265938758850098,6.566080093383789,2.161545753479004,122,165,165
104,2.46518,2.529224,2.370136,2.219759,-0.3094650000000003,0.6893329620361328,0.4407576322555542,0.15178540349006653,2.56474232673645,1.8754093647003174,114,165,165
105,1.239501,1.164288,1.08133,1.086653,-0.15284799999999987,3.1728291511535645,3.530536651611328,3.4779651165008545,5.1732659339904785,1.6427292823791504,108,165,165
106,1.554975,1.581044,1.471962,1.313805,-0.267239,2.5591979026794434,2.6185853481292725,2.4934892654418945,4.324059009552002,1.7054736614227295,106,165,165
107,3.500893,3.54583,3.327901,3.170823,-0.3750070000000001,7.867964744567871,7.834465503692627,7.709448337554932,9.738439559936523,1.8704748153686523,108,165,165
108,4.938592,5.093376,4.845863,4.936335,-0.15704100000000043,2.5706374645233154,2.6511571407318115,2.6431820392608643,4.372101306915283,1.7209441661834717,101,165,165
109,2.694924,2.789057,2.626464,2.533016,-0.2560410000000002,5.100527763366699,5.197325706481934,4.971653461456299,6.88439416885376,1.6870684623718262,109,165,165
110,3.445923,3.574255,3.477136,3.430202,-0.144053,3.4502429962158203,3.414538860321045,3.3878490924835205,5.154987335205078,1.7047443389892578,96,165,165
111,1.231532,1.183445,1.096885,1.029159,-0.20237300000000014,6.71672248840332,7.01314640045166,7.079463481903076,9.125089645385742,2.045626163482666,101,165,165
112,2.03013,2.037525,1.91104,1.829535,-0.20799000000000012,6.263528347015381,6.247809410095215,6.079433917999268,7.995896339416504,1.732367992401123,102,165,165
113,3.425885,3.576998,3.435797,3.507459,-0.06953900000000024,5.105440616607666,5.168813705444336,5.082178592681885,7.528201103210449,2.3593873977661133,103,165,165
114,1.037735,0.975192,0.877858,0.870562,-0.16717300000000013,6.169032096862793,6.24476432800293,6.12310266494751,8.306551933288574,2.0617876052856445,108,165,165
115,1.843859,1.851397,1.741339,1.750393,-0.10100399999999987,2.8153257369995117,2.7890684604644775,2.857290029525757,4.897073745727539,2.0397837162017822,84,165,165
116,1.790773,1.778097,1.637808,1.641744,-0.14902899999999986,4.391384124755859,4.454626083374023,4.300621509552002,6.276240348815918,1.8216142654418945,102,165,165
117,2.358296,2.429801,2.323898,2.202556,-0.22724499999999992,8.851962089538574,9.100857734680176,8.956180572509766,11.13839340209961,2.0375356674194336,103,165,165
118,1.696167,1.669814,1.545243,1.420315,-0.275852,4.561468601226807,4.632120132446289,4.5488152503967285,5.954683303833008,1.3225631713867188,102,165,165
119,2.188215,2.212367,2.061636,1.910034,-0.30233299999999996,1.4563134908676147,0.9647669196128845,0.9412941932678223,3.4664347171783447,2.01012122631073,103,165,165
120,1.962838,1.946734,1.801009,1.61298,-0.349858,3.7614688873291016,3.6832714080810547,3.428779363632202,5.153441429138184,1.391972541809082,126,165,165
121,3.540931,3.730185,3.631097,3.558222,-0.17196299999999987,6.617347240447998,6.783384799957275,6.682991981506348,9.143699645996094,2.3603148460388184,107,165,165
122,3.168068,3.266998,3.132539,3.062969,-0.20402900000000024,3.5433120727539062,3.575469732284546,3.526681661605835,5.491188049316406,1.9157183170318604,84,165,165
123,2.832207,2.903597,2.705421,2.648428,-0.255169,0.8558627367019653,0.41957157850265503,0.37963375449180603,2.5040080547332764,1.648145318031311,101,165,165
124,3.596384,3.669759,3.477117,3.264748,-0.405011,1.8435838222503662,1.700885534286499,1.6336702108383179,3.8192365169525146,1.9756526947021484,108,165,165
125,1.382339,1.363955,1.265318,1.20697,-0.17536899999999989,2.100831985473633,1.9686148166656494,1.951972484588623,3.637120008468628,1.5362880229949951,105,165,165
126,3.721186,3.783739,3.568916,3.354552,-0.4291870000000002,3.0102086067199707,2.969097375869751,2.887092351913452,4.625017166137695,1.6148085594177246,100,165,165
127,2.461202,2.521933,2.341088,2.267315,-0.25461800000000023,7.247552394866943,7.291916847229004,7.33290433883667,9.31786060333252,1.9849562644958496,102,165,165
